Data2,Em recuperação,Óbitos,Recuperados
23 de mai. de 2020,1,0,8
22 de mai. de 2020,1,0,8
20 de mai. de 2020,1,0,8
24 de mai. de 2020,1,0,8
19 de mai. de 2020,2,0,7
18 de mai. de 2020,2,0,7
21 de mai. de 2020,1,0,8
26 de mai. de 2020,3,0,9
25 de mai. de 2020,3,0,9
27 de mai. de 2020,4,0,9
28 de mai. de 2020,4,0,11
31 de mai. de 2020,6,0,11
30 de mai. de 2020,6,0,11
29 de mai. de 2020,6,0,11
1 de jun. de 2020,7,0,11
2 de jun. de 2020,8,0,13
3 de jun. de 2020,8,0,14
4 de jun. de 2020,8,0,16
7 de jun. de 2020,7,0,18
6 de jun. de 2020,7,0,18
5 de jun. de 2020,7,0,18
8 de jun. de 2020,8,0,21
9 de jun. de 2020,14,1,23
10 de jun. de 2020,16,1,23
11 de jun. de 2020,23,1,23
12 de jun. de 2020,23,1,23
14 de jun. de 2020,23,1,23
13 de jun. de 2020,23,1,23
15 de jun. de 2020,32,1,28
16 de jun. de 2020,30,1,39
17 de jun. de 2020,33,1,40
18 de jun. de 2020,38,1,42
19 de jun. de 2020,42,1,44
20 de jun. de 2020,50,1,46
21 de jun. de 2020,54,1,46
22 de jun. de 2020,57,1,55
23 de jun. de 2020,61,1,56
24 de jun. de 2020,69,1,59
25 de jun. de 2020,83,1,65
26 de jun. de 2020,94,1,73
27 de jun. de 2020,109,1,75
28 de jun. de 2020,122,1,79
29 de jun. de 2020,124,1,86
30 de jun. de 2020,125,1,91
1 de jul. de 2020,104,1,118
2 de jul. de 2020,100,1,129
3 de jul. de 2020,94,1,142
4 de jul. de 2020,97,1,142
5 de jul. de 2020,102,1,145
6 de jul. de 2020,102,1,149
7 de jul. de 2020,102,1,155
8 de jul. de 2020,87,1,178
9 de jul. de 2020,84,1,184
10 de jul. de 2020,82,1,192
11 de jul. de 2020,75,1,205
12 de jul. de 2020,70,1,212
13 de jul. de 2020,68,1,218
14 de jul. de 2020,70,1,219
15 de jul. de 2020,71,2,224
16 de jul. de 2020,71,2,229
17 de jul. de 2020,77,2,235
18 de jul. de 2020,82,2,235
19 de jul. de 2020,82,2,241
20 de jul. de 2020,87,2,247
21 de jul. de 2020,94,2,254
22 de jul. de 2020,92,2,260
23 de jul. de 2020,104,2,266
24 de jul. de 2020,105,2,280
25 de jul. de 2020,108,2,285
26 de jul. de 2020,113,2,288
27 de jul. de 2020,111,3,294
28 de jul. de 2020,112,3,302
29 de jul. de 2020,125,4,308
30 de jul. de 2020,138,4,312
31 de jul. de 2020,143,4,318
1 de ago. de 2020,152,4,327
2 de ago. de 2020,155,4,335
3 de ago. de 2020,160,4,342
4 de ago. de 2020,160,5,350
5 de ago. de 2020,156,5,359
6 de ago. de 2020,153,6,367
7 de ago. de 2020,162,6,375
8 de ago. de 2020,163,6,384
9 de ago. de 2020,173,6,392
10 de ago. de 2020,176,7,401
11 de ago. de 2020,174,7,411
12 de ago. de 2020,187,9,420
13 de ago. de 2020,184,9,429
14 de ago. de 2020,195,9,433
15 de ago. de 2020,197,9,441
16 de ago. de 2020,201,9,450
17 de ago. de 2020,205,9,461
18 de ago. de 2020,212,10,470
19 de ago. de 2020,217,10,482
20 de ago. de 2020,220,10,490
21 de ago. de 2020,222,10,500
22 de ago. de 2020,229,12,512
23 de ago. de 2020,226,13,520
24 de ago. de 2020,230,13,528
25 de ago. de 2020,234,13,541
26 de ago. de 2020,234,13,560
27 de ago. de 2020,239,13,573
28 de ago. de 2020,253,13,585
29 de ago. de 2020,260,13,594
30 de ago. de 2020,257,15,603
31 de ago. de 2020,255,15,610
1 de set. de 2020,262,15,620
2 de set. de 2020,273,15,632
3 de set. de 2020,278,15,645
4 de set. de 2020,279,15,658
5 de set. de 2020,270,16,678
6 de set. de 2020,262,17,690
7 de set. de 2020,240,17,713
8 de set. de 2020,236,18,722
9 de set. de 2020,240,18,734
10 de set. de 2020,234,18,748
11 de set. de 2020,234,18,760
12 de set. de 2020,211,18,788
13 de set. de 2020,201,18,801
14 de set. de 2020,190,18,814
15 de set. de 2020,192,18,821
16 de set. de 2020,192,18,834
17 de set. de 2020,198,18,850
18 de set. de 2020,198,18,862
21 de set. de 2020,188,18,887
22 de set. de 2020,179,18,900
23 de set. de 2020,182,18,912
24 de set. de 2020,181,18,921
25 de set. de 2020,181,18,930
28 de set. de 2020,185,18,961
29 de set. de 2020,186,18,970
30 de set. de 2020,185,20,982
1 de out. de 2020,191,22,990
2 de out. de 2020,196,22,1003
5 de out. de 2020,220,22,1035
6 de out. de 2020,220,24,1044
7 de out. de 2020,226,24,1061
8 de out. de 2020,235,24,1076
9 de out. de 2020,250,24,1092
13 de out. de 2020,279,25,1125
14 de out. de 2020,287,25,1136
15 de out. de 2020,290,25,1151
16 de out. de 2020,312,25,1165
20 de out. de 2020,320,27,1218
21 de out. de 2020,322,27,1232
22 de out. de 2020,319,28,1249
23 de out. de 2020,353,29,1262
